,metric_name,metric_id,mean_squarred_error,training_time,inference_time
58,cpu_usage,ec29c9f5-c6bd-4699-a2b0-aa3ae0e60064,1.4287473995956026,99.67228412628174,0.07056093215942383
59,cpu_prct_used,ae320972-f612-4cef-8570-908250b8bd1a,6.252477536288865,110.41129565238953,0.0673360824584961
60,messages,5a5933ad-ba4d-45f9-b508-b6eebc034fe0,12.597708333225668,102.83129453659058,0.06410646438598633
61,messages_unacknowledged,43400768-8ade-4567-a8cc-209ce26d4824,2.6253807155091216,101.2468569278717,0.06786870956420898
62,cpu_prct_used,30bec8cf-56cc-4a6b-a125-5c5d0a29585e,1.7604997904939101,110.41129565238953,0.06601119041442871
63,cpu_usage,6ba1bc05-7ead-4d7b-a043-f9b900fc0757,39.754768901235295,99.67228412628174,0.06682634353637695
64,cpu_prct_used,00f32458-39cf-4361-9abb-34247262b192,22.23662447993667,110.41129565238953,0.06502914428710938
65,messages_unacknowledged,c8728ee5-d840-41ba-9c55-6f98901b3813,3.4045573937537434,101.2468569278717,0.07169556617736816
66,messages_unacknowledged,0e7f6842-3042-4d4e-a9d9-01a699043445,1182.4917018736326,101.2468569278717,0.06811809539794922
67,cpu_prct_used,89d30671-0559-4b5b-b514-b99a6cb2a4d5,34.45116916217249,110.41129565238953,0.06888198852539062
68,messages_ready,ee9b7711-cc03-4335-b3bc-a6fd644ed113,523804.83987072896,46.29642128944397,0.06502103805541992
69,messages_ready,8e42b1ac-4b2d-4c1f-bc26-e33e837ce215,3.320792991428244,46.29642128944397,0.04516315460205078
70,memoryConsumed,988ca002-ed23-4cf3-a318-f4a77fb6b439,37708.9553289401,102.46603775024414,0.04564380645751953
71,messages_unacknowledged,78567380-7739-4a1b-abc2-ae51bd5ebb0c,3.2762503181000358,101.2468569278717,0.05325579643249512
72,consumers,82e74c79-2b56-4ba1-ad8b-7269c7d9abb1,4.7118125596256375,97.3181324005127,0.06864452362060547
73,messages_unacknowledged,933faead-4086-426b-8af5-d581e19522fe,1.878182634684808,101.2468569278717,0.08232426643371582
74,messages,7f39d207-f4d4-42c7-b12a-ab7af23d9a32,1083103.84069488,102.83129453659058,0.06336379051208496
75,cpu_prct_used,992abae2-0839-40c3-9e88-9a30da702f0f,37.34259118233411,110.41129565238953,0.06728768348693848
76,ack,b775bb3a-330d-433a-adf5-40c717321c61,230.0873730102328,101.11349368095398,0.05794978141784668
77,cpu_wait,6b22bac2-5e47-41a3-baa8-2c4247feddcb,16077.646593951491,97.83950448036194,0.06338310241699219
78,messages,2266027c-9917-4b3b-868f-ec8bf9544211,4674.211163394311,102.83129453659058,0.06942963600158691
79,messages_ready,38f9d677-f26b-4fda-b489-29b9e426a9c9,524241.60732242535,46.29642128944397,0.06313371658325195
80,messages_unacknowledged,2b18dc57-481f-4112-93d9-274cb8569fc8,1.8824109167574405,101.2468569278717,0.20090889930725098
81,messages_ready,31460db4-f422-4f00-8f23-c8c2430100cb,4687.006080644658,46.29642128944397,0.06745004653930664
82,messages_unacknowledged,94c1c198-be9b-4e6f-81c7-332f3d3550e1,1.878182634684808,101.2468569278717,0.07404685020446777
83,cpu_prct_used,2e5afd22-456a-4820-ac78-081ec7a38e7f,1.61971914081996,110.41129565238953,0.06713104248046875
84,cpu_prct_used,925b62d0-8322-4659-82c7-11c25615bb32,37.720761325309134,110.41129565238953,0.06690001487731934
85,messages_unacknowledged,55f5155f-6b82-4784-9616-827acd1e0c19,1.8781825712142546,101.2468569278717,0.06597304344177246
86,messages_unacknowledged,8350f4d3-0486-4d45-bbde-458e8016e77d,602.080507490485,101.2468569278717,0.06689715385437012
87,consumers,ac84216f-f086-47a9-b8f9-2699ec1bb632,4.714812195679415,97.3181324005127,0.06985354423522949
88,messages_unacknowledged,f4cc2725-4f66-45cf-bfb4-5374619d2b51,1.882832633896174,101.2468569278717,0.09631037712097168
89,consumers,7bc35aa4-f957-4681-a925-9e44278d21b9,4.76837158203125e-07,97.3181324005127,0.06263852119445801
90,messages_ready,377fefc3-ba69-4a1d-ae99-855fc667acb3,1083115.579103172,46.29642128944397,0.06459879875183105
91,messages_ready,bcf9ac6b-a435-47ec-b8e6-a0dc425d4a1d,3.320792847836888,46.29642128944397,0.06226682662963867
92,messages_unacknowledged,c00a3080-08ad-4bba-b169-6a4f275f673f,610.2888660298498,101.2468569278717,0.06267929077148438
93,cpu_prct_used,3f1ac73a-4088-479d-ba8e-ef3b8414ea0f,5.825408384226601,110.41129565238953,0.06462430953979492
94,messages,8e0dc6a1-b88c-4ffd-94f9-8b736ee3131a,524248.7485306951,102.83129453659058,0.06928610801696777
95,messages,b4419903-362b-4b70-9f58-9bc43e6efd36,4675.873394351049,102.83129453659058,0.08235669136047363
96,memoryConsumed,6611a878-d031-4aa1-964f-f6bde93b08b8,19374.110560229597,102.46603775024414,0.04950571060180664
97,messages_unacknowledged,a716a8a8-6e20-473e-9000-709daf3cbdfc,2860.0793695280554,101.2468569278717,0.06371712684631348
98,messages_ready,5fb97183-9be6-4ab9-a4af-917944efca27,10.278038938028066,46.29642128944397,0.06592679023742676
99,messages_unacknowledged,1eb13901-7427-4570-b637-80a61d2008f9,1.878182634684808,101.2468569278717,0.09840917587280273
100,messages_ready,e7896f8b-9328-4524-9f98-ed6dbb3a664a,3.3201381502937695,46.29642128944397,0.21049118041992188
101,messages_unacknowledged,5a27cdca-673e-4f02-82ab-b783e0e602e8,1.8781825712142546,101.2468569278717,0.08811068534851074
102,cpu_usage,43f716e7-0ad5-47d5-8c89-0569a5d2653e,36.05451228966095,99.67228412628174,0.06359124183654785
103,cpu_prct_used,af7e9d7e-9540-4932-871d-51b4e944969f,8.467844559242463,110.41129565238953,0.06860995292663574
104,consumers,c2b4bdec-7bfd-4264-91a7-2fe07af81d34,0.3419214185239174,97.3181324005127,0.07128643989562988
105,messages_ready,b45b5443-5388-49c6-88bf-6abe80b51c87,3.320792847836888,46.29642128944397,0.04758048057556152
106,cpu_prct_used,b578f4a2-eea7-4bf4-9ae0-daff5983e91d,4.293139356255113,110.41129565238953,0.0674140453338623
107,cpu_prct_used,e68c4363-7195-4f87-8efe-c1f1ff185241,10.249791212979314,110.41129565238953,0.12431478500366211
108,memoryConsumed,2c1a9689-a689-4646-990c-0520087eb8e3,37647.461109615346,102.46603775024414,0.0490574836730957
109,messages_ready,7aa619a4-6338-4ea8-a98f-1d8a35ff01f9,3973160.511133674,46.29642128944397,0.06831645965576172
110,messages_unacknowledged,e6740d5a-247b-4da0-9c3e-b2f75d3fae89,1.878182634684808,101.2468569278717,0.05312371253967285
111,ack,621ba06c-d980-4b9f-9018-8688ff17f252,1.6943547228560565,101.11349368095398,0.05538344383239746
112,messages,9575a309-fa29-4b87-8f88-69b2203cb4a0,12.572011810248638,102.83129453659058,0.07555580139160156
113,messages_ready,dd369078-071d-4d85-a30b-287793f77206,125.37241398130611,46.29642128944397,0.05496788024902344
114,messages_unacknowledged,01a8ad90-cba9-4f31-9c5e-6fa7c44428c3,2930.0179180339496,101.2468569278717,0.06568741798400879
115,messages_unacknowledged,8d2d4df8-a3c2-445a-831f-7e5707232ba3,3.8476382802166036,101.2468569278717,0.399491548538208
116,ack,43a6692f-bb6c-42c8-a7bc-be1fc944d960,34.3726987866097,101.11349368095398,0.0552370548248291
117,cpu_prct_used,1c663cd7-d44b-48fa-a461-66d9dee88455,37.38959006612001,110.41129565238953,0.0644071102142334
118,messages_unacknowledged,af554c92-69fe-40c2-b803-3c645cadc1fb,2.0653646977437856,101.2468569278717,0.046309471130371094
119,cpu_prct_used,58125e19-3105-4ae9-aeb3-4c93a1da1191,40.30095068328491,110.41129565238953,0.06451106071472168
120,messages_unacknowledged,d03e5a4c-8e1c-4b31-8625-c44e8f01dba6,2.1188496614045738,101.2468569278717,0.06682085990905762
