,metric_name,metric_id,mean_squarred_error,training_time,inference_time,p_Value
92,messages_unacknowledged,c00a3080-08ad-4bba-b169-6a4f275f673f,174.07177262958294,1.906430959701538,0.0007278919219970703,0.03160086045919228
93,cpu_prct_used,3f1ac73a-4088-479d-ba8e-ef3b8414ea0f,8.530559075084753,0.8334381580352783,0.0004520416259765625,0.2888605974085975
94,messages,8e0dc6a1-b88c-4ffd-94f9-8b736ee3131a,1646.3744173056314,4.633050441741943,0.0008165836334228516,3.6663306625553127e-06
95,messages,b4419903-362b-4b70-9f58-9bc43e6efd36,17.0,0.04796266555786133,0.0003962516784667969,0.7699584712892145
96,memoryConsumed,6611a878-d031-4aa1-964f-f6bde93b08b8,1244.2491094145937,1.1356885433197021,0.0008454322814941406,1.3560221190007352e-05
97,messages_unacknowledged,a716a8a8-6e20-473e-9000-709daf3cbdfc,270.9601407780351,0.46755027770996094,0.0004413127899169922,2.069004051263862e-05
98,messages_ready,5fb97183-9be6-4ab9-a4af-917944efca27,0.4943938575702946,0.6874282360076904,0.0004551410675048828,2.20296736707413e-12
99,messages_unacknowledged,1eb13901-7427-4570-b637-80a61d2008f9,4.824558165895695e-06,0.19736766815185547,0.0004096031188964844,
100,messages_ready,e7896f8b-9328-4524-9f98-ed6dbb3a664a,0.0011833154119242073,2.847224235534668,0.00045800209045410156,2.4862686489843693e-24
101,messages_unacknowledged,5a27cdca-673e-4f02-82ab-b783e0e602e8,4.8245581658956926e-06,0.20389485359191895,0.0003867149353027344,
102,cpu_usage,43f716e7-0ad5-47d5-8c89-0569a5d2653e,10.697657423995647,0.06476855278015137,0.00040078163146972656,0.010890372562877977
103,cpu_prct_used,af7e9d7e-9540-4932-871d-51b4e944969f,2.316412595781741,2.333806037902832,0.0007724761962890625,0.0739704270313251
104,consumers,c2b4bdec-7bfd-4264-91a7-2fe07af81d34,4.824558165895706e-06,0.3129434585571289,0.00038123130798339844,
105,messages_ready,b45b5443-5388-49c6-88bf-6abe80b51c87,4.824558165895696e-06,0.1871640682220459,0.00038814544677734375,
106,cpu_prct_used,b578f4a2-eea7-4bf4-9ae0-daff5983e91d,4.056159162006079,0.06507563591003418,0.0004107952117919922,0.0
107,cpu_prct_used,e68c4363-7195-4f87-8efe-c1f1ff185241,10.565664845550447,3.3335182666778564,0.0007791519165039062,1.1250830081707405e-08
